	ids	body	Uncertainity of Post_Diagnosis	Results and Side-Effects Observed	Medical Assistance	Diet and Maintenance	Information Source	Concepts
10	VOLTAREN-XR.20.txt	I was prescribed Voltaren-XR 100 MG for lower back pain. It worked wonders for my pain - I thought that I had discovered a wonder drug - then after 30 days I was at work and started passing massive amounts of blood without pain or warning. I thought I was bleeding to death! I went to the ER and was admitted and had a colonoscopy the next day. The Dr discover an ulcer in by lower bowel which he believes was caused by the Voltaren. The bleeding has now stopped and I am OK, but I will never take this drug or any drug in it's class again. Hindsight is 20-20. 	0	1	1	0	0	lower back pain|pain|prescribed|admitted|colonoscopy|bleeding|ulcer|blood|death|bowel|class|day|drug|Voltaren|Voltaren|30 days
11	LIPITOR.955.txt	I took this drug for 2 years before onset of joint pain (knees)and painfull welts on bottom of feet (had to use cane to walk). Initially, my quack MD put me on anti-inflam. drugs. Subsequently, I quit the drug and the MD. All symptoms subsided completely. However, I had a milder reaction to Zocor; dizziness with Pravachol; now on Zetia (mild joint pain). I believe that Lipitor left me with permanent joint damage and would join any class-action lawsuit relating to this crumby drug Lipitor. 	0	1	0	0	0	joint pain|dizziness|painfull|symptoms|Pravachol|Lipitor|Zocor|Zetia|Pravachol|Lipitor|drugs|Zocor|Zetia|drug|damage|class|feet|cane|2 years|completely|reaction
12	LIPITOR.15.txt	I have not clinically proved my theory yet , but I strongly believe that taking Lipitor for 4 years ended up giving me Multiple Sclerosis. I am a 37 yr old male, I was diagnosed with MS two months ago. My cholesterol was it's highest at 212 when my GP prescribed the drug. My total cholesterol while on it got down to 130 ish. This is too low in my opinion and my body began attacking my CNS and now have to live with this. Again, this has not yet proven, nor have i gone down that road yet.  Big Pharma wants to promote the use of statins to treat MS, when I stopped taking mine (Jan 2010)that is when my symptoms became present?? I may have been the human rat in that theory. To make matters even worse, the therapy my neurologist wants to put me on, just so happens to be the same company that mfg.'s Lipitor. hmmm!. 	0	1	0	0	0	Multiple Sclerosis|total cholesterol|prescribed|diagnosed|Lipitor|statins|cholesterol|ended|Lipitor|proven|drug|statins|cholesterol|ended|present|worse|therapy|proven|low|months|symptoms
13	LIPITOR.833.txt	I am female, age 55 and generally in good health. No smoking or drinking and work daily. Wt is 15 lbs more than it should be. Cholesterol has been high for years despite diet. Taking 40mg daily for 1 year, took 20mg previously. Lately I realized everything hurts. It crept up on me. I am an RN and still did not put it together until this week when I decided something is not right. When the aches and pains were mild I thought it was arthritis or too much activity. Stopped the Lipitor and the generalized aches and pains are fading after just 3 days. Will explore other options but these drugs have not been around long enough to confirm long term effects. Looking at this site, I will begin to ask my patients that are on statins about their history. 	0	1	0	0	1	long term effects|good health|year|week|Cholesterol|activity|drinking|Lipitor|statins|Lipitor|drugs|statins|confirm|history|arthritis|right|too much|decided|aches|pains|Will|explore
14	LIPITOR.845.txt	The last two years I have had severe pain in my feet and legs with a definite decrease in muscle strength. have spent a fortune on orthodics and shoes. I take a very small amount because I have always been hyper sensitive to drugs. I am now convinced it IS the Lipitor and am going to stop immediately as a test. It definitely lowers cholesterol. my LDL cut in half. The research is still out though. 	0	1	0	0	0	severe pain|decrease|amount|fortune|fortune|Lipitor|drugs|lowers|cholesterol|Lipitor|cholesterol|definite|feet|legs|test|immediately|definitely|cut|muscle strength|lowers|sensitive|definite
15	ARTHROTEC.10.txt	Hunger pangs. Brilliant, I have a new lease of life, i walk up & down steps properly, no longer sideways like a toddler, hip pain as gone other than if i jar it. 	0	1	0	0	0	hip pain|Hunger|like|new
16	LIPITOR.415.txt	experienced severe muscle weakness,lost 30 pounds (all Muscle), I had relatively little pain but couldn't lift my arms or legs. The muscles just deteriorated. I have since been diagnosed with polymyositis . exacerbated by Lipitor. It has taken me two years since stopping lipitor to be able to walk again. Luckily after being admited to the hospital I was seen by a rheumatologist who knew what she was seeing. I will never get back the full use of my arms or legs. ALL STATIN drugs are dangerous. I have heard from two other people who have ended up with Polymyositis from Lipitor. 	0	1	1	0	0	muscle weakness|polymyositis|Polymyositis|deteriorated|exacerbated|able|30 pounds|diagnosed|stopping|stopping|Lipitor|lipitor|drugs|STATIN|ended|Lipitor|lipitor|STATIN|ended|Muscle|legs|seeing|pain|lift|arms|back|experienced|severe
17	LIPITOR.242.txt	SEVERE AND UNCHARACTERISTIC DEPRESSION, ANXIETY, AGGRESSION, AND MOOD SWINGS. I cannot stress this enough- my personality comepletely changed after beginning this medication. I am typically an easy going, positively thinking, emotionally stable, and motivated person. But after starting Lipitor I've gradually descended into a world of extreme anxiety, hopelessness, lonliness, and self loathing. I've never in my life been so depressed, so obsessively focused on morbid, terrifying thoughts, or so negative about everything in my life. After being off of this medication for only 48 hours, I am already beginning to see an improvement in my moods, but this will be a long journey back to my old self, I feel. Oh yes, and I also suffered from: Gas, Constipation, EXTREME FATIGUE, weight gain and bloating, and occassional bouts of diaharrea. It lowered my cholesterol, to be sure. But it also significantly lowered my quality of life. This website has been an absolute lifeline for me. My doctor had seemed so completely unwilling to accept that my symptoms could've possibly been related to my taking Lipitor. However, I know my body and know when things are not as they should be. I have been feeling this way since almost immediately after I took my first dose. Hearing that so many other people have experienced the same exact symptoms as me has given me the courage needed to STOP this medication. So many of my family members and friends have had bad reactions to this stuff- I can not trust it, and will be looking for another way to get my cholesterol under control, if possible. Be very careful and very informed before you start any new medication. Don't always trust the word of your doctor as the only word and take it at its face value. When it comes to your body, you have every right to dictate, understand, and call the shots about what does and does not go in to it. 	0	1	0	0	1	EXTREME FATIGUE|quality of life|Gas|symptoms|hopelessness|understand|thinking|loathing|feeling|courage|moods|feel|experienced|reactions|thoughts|members|Constipation|medication|website|family|given|start|self|AND|immediately|AGGRESSION|stable|MOOD SWINGS|personality|DEPRESSION|depressed|suffered|ANXIETY|anxiety|terrifying|negative|possible|stress|easy|new|control|related|emotionally|completely|improvement|positively|informed|right|unwilling|bloating|possibly|changed|Lipitor|cholesterol|Lipitor|cholesterol|Hearing|weight|back|face|see|SEVERE
18	FLECTOR.1.txt	"Started experiencing pain in my right heel when walking in mid-November; it got worse over time so I went to see my orthopedist in early December and he said I had plantar fasciitis; he showed me stretching exercises and advised me to get inserts for my walking shoes, wear cushioned house slippers and avoid walking up inclines. The pain lessened by following all these recommendations but I was still uncomfortable a lot of the time. I finally went to see the orthopedist in March and he said my foot ""can"" improve if I continued with the exercises, etc At the very end, he asked if he had given me the ""patch"" at my first appointment; so I left with a sample and a prescription for the Flector patch. I cut a patch (there are five in each reclosable pouch) in half and it covers the heel area. After I used it the first time, the puffiness and pain were gone! I found it best to use the patch at night only although you can replace it every 12 hours. I put the patch on at bedtime, tape the edges down and wear a sock to secure it. Initially, I used it every night and after about three weeks, was able to cut down to several times a week. It certainly helped to make the past month more comfortable. "	0	1	0	0	0	stretching exercises|exercises|plantar fasciitis|said|prescription|cushioned|patch|tape|Flector|Flector|worse|used|able|improve|right|continued|given|month|week|pain|heel|foot|see|cut|sample|appointment
19	LIPITOR.308.txt	No side effects. On for 3 years so far. feel great. 20mg and working fine. 	0	1	0	0	0	side effects|feel
20	VOLTAREN.6.txt	I had no side effects the first two days. The doctor prescribed for me to take 2 per day and I'm very glad I didn't. I took one per day and this is the third day. My face has felt numb most of the day and I feel light headed. I've had to get up and walk this feeling off, which has not been fun on the knee. I wouldn't suggest voltaren because it did nothing for the inflammation in the knee and has me in a panic until I can get this stuff out of my system. 	0	1	0	0	0	I had side effects|nothing|panic|light headed|prescribed|voltaren|voltaren|feeling|feel|face|knee|day|inflammation
21	LIPITOR.589.txt	taking it for 4 /5 years. Finally I stopped 3 days ago due to a high muscle enzyme and now after reading this site I have .realized all my problems due to this med Have ankle pain, neurophaty, vision problems, very tired, muscle pain. I am not ever going to take it. 	0	1	0	0	1	muscle enzyme|muscle pain|ankle pain|tired|vision|problems
22	LIPITOR.291.txt	Muscle weakness and extreme pain, nausea, diarrhea, dark urine, dizziness. I have been off of it for 4 days and can barely walk. I hope that this is not permanent. I thought that I had the flu bug tht was going around the neighborhood. I had taken pravochol for years with not side effects, but wasn't lowering my cholesterol enough. 	0	1	0	0	0	side effects|dark urine|dizziness|weakness|nausea|pain|Muscle|hope|flu|lowering|cholesterol|cholesterol|diarrhea
23	ARTHROTEC.30.txt	I have been on Arthrotec for a year and a half and have been very pleased that it does help deal with my back pain. However. over the last six months, I have started having vaginal bleeding almost every day of the month. Lots of clotting, and horrible periods. I went to the obgyn and everything came out normal. The doc put me on birth control. But, the bleeding has not subsided. So now I am scheduled to have an endometrial biopsy on Wed. I had an ephiphany last night about Arthrotec and began researching the side effect. When I came across this website, I was appalled that the majority of the females mention heavy/extra vaginal bleeding. I firmly believe this is the answer to my bleeding problem and will be telling the doctor on Monday,. Although this drug has helped with the pain, it is not worth the cost and hassle of bleeding constantly., On top of that, I am now having to have a procedure that a 31 year old should not have to endure. I truly hope that there are no long term effects from this. I have not taken Arthrotec in almost a week, yet I am still bleeding. I do not look forward to the extra pains I will llkely experience in a couple weeks, but I am sure I can find something else to deal with them. I feel that I have become dependent on this medicine to function. 	0	1	1	0	1	endometrial biopsy|long term effects|vaginal bleeding|bleeding problem|bleeding|couple|birth control|procedure|experience|hope|feel|Arthrotec|extra|Arthrotec|drug|extra|medicine|dependent|effect|something else|clotting|function|periods|website|normal|month|year|help|week|day|scheduled|months|pains|pain|back
24	LIPITOR.736.txt	After a few months of Lipitor and Tricor started having abdominal pain, some sort of G.I. problems, recently went to the E.R. with severe chest pain and now am waiting for Cardio related tests. I think these drugs really screwed me up. Don't use statin drugs. they are very dangerous!!. 	1	1	1	0	0	chest pain|pain|abdominal|Lipitor|Tricor|statin|Lipitor|Tricor|drugs|statin|tests|months|think|sort|problems|related|severe
25	LIPITOR.710.txt	Horrible leg pain. turned into an cripple,can't get out of bed in the morning, have hip pain. never had a problem with my hips in my life!. all my blood,liver function are normal!!. can't be!. Can't walk up stairs, bend over. or walk around the store. I use to walk twice a day for forty minutes, now I can hardly walk to my car. have tried everything for leg pain, and my new hip pain. I live on motrin. and asper-cream. I am going to stop taking Lipitor TODAY. a heart attack seems easier. Glad I found this site.  	1	1	0	0	1	heart attack|bend|can't get|problem|turned|new|walk up stairs|leg pain|hip pain|function|Lipitor|motrin|Lipitor|motrin|normal|day|blood|liver|hips|minutes
26	LIPITOR.60.txt	All fine for first five weeks and then. increasing pain and stiffness at left knee. Attributed to running 15 miles per week, two 60 minute spin classes weekly, resistance training etc . Symptoms worsened, swelling at knee, drained 25 cc fluid. Orothopedic consult; x rays and MRI revealed no abnormality. Symptoms worsend and spread to right knee. After two weeks of problems, skipped one dose of Lipitor. 36 hours after last dose, symptoms abated. 48 hours later symptoms nearly gone. MD confirms decision to discontinue entirely. Lipitor did bring my cholesterol from 235 to 175. Bloodwork indicated no liver or muscle enzyme abnormilities after 7 weeks but those results are not worth the symptoms. Switching to Choleast an over the counter red rice yeast formula. 	0	1	1	1	0	red rice yeast|Lipitor|cholesterol|red rice yeast|Lipitor|cholesterol|muscle enzyme|right knee|left knee|liver|knee|stiffness|pain|symptoms|worsened|swelling|confirms|skipped|problems|discontinue|worsend|abnormality|Switching|Symptoms|decision|miles|classes|week|formula|consult|counter|x rays|training|resistance|increasing
27	LIPITOR.102.txt	Paranoia, anxiety. It sure reduced my LDL cholesterol as well as triglycerides - but the psychiatric side effects were harsh. 	0	1	0	0	0	side effects|Paranoia|anxiety|psychiatric|LDL cholesterol|triglycerides
28	LIPITOR.976.txt	muscle pain in back; insomnia. muscles on the sides of my back were constantly painful; I could not sleep even with ambien and melatonin. I only took it 9 days and it took a week for symptoms to gradually disappear. 	0	1	0	0	0	pain in back|painful|symptoms|melatonin|ambien|melatonin|ambien|melatonin|back|week|sides|sleep|insomnia
29	ARTHROTEC.142.txt	Some stomach irritation, feels a bit like my pressure is up (in my head mostly). I pulled my lower back at the gym 2 times. last time was about 1 1/2 years ago and it was pretty bad. Since then my back has really gotten worse. I still exercise everyday and stretch, but it really is not helping. I final went to the doctor and i am getting x-rays on my spine tomorrow. He gave me about 25 samples of Arthrotec 75. 3 days later I cannot believe how good my back feels. It has to be this drub, because this is the first day i can comfortably bend down with no pain and even touch my toes without bending my knees. It seems that this drug, like many drugs, works for some and not for all. as for me seems to be really good. 	0	1	0	0	0	lower back|head|back|Arthrotec|tomorrow|Arthrotec|tomorrow|drugs|drug|pressure|2 times|pulled|worse|stomach|spine|knees|toes|stretch|exercise|bending|bend|feels|like|pain|day|irritation|x-rays
30	DICLOFENAC-SODIUM.3.txt	I have vaginal bleeding and my vaginal skin burns a lot, my cycle was back (I'm menopausal ), breast pain Other symptoms I have: erithema, my skin is so dry I have little cuts on my hands, I 'm sweating a lot (usually I don't), pruritus ani etc I took it 3 times: the first for 3 days, then I stopped because it didn't make great improvements and I had diarrhea. My doctor told me the symptoms had to go away after taking few more Second time: I took other 3 pills in 3 days. little improvement with the pain. I had the first vaginal bleeding, a lot of pruritus and my skin was all red but I didn't know it was arthrotec. My doctor prescribed me a topical cream , did some vaginal test to exclude infections. I had my cycle The last one for 4 days. More problems and this time I had the idea to go on Internet and I discovered I had a lot of the side effects by taking Arthrotec. 	1	1	1	0	0	vaginal bleeding|side effects|infections|Other symptoms|pruritus ani|breast pain|pain|symptoms|skin burns|cuts|menopausal|prescribed|arthrotec|Arthrotec|cycle|arthrotec|Arthrotec|cycle|sweating|3 times|problems|improvement|n't know|pruritus|vaginal|hands|and skin|exclude|test|diarrhea|back|topical cream
31	LIPITOR.158.txt	tiredness, some back pain. 	0	1	0	0	0	back|pain|tiredness
32	ARTHROTEC.140.txt	None that I noticed. I did take my blood pressure today though, and it was slightly elevated from the norm. I suspect the drug is responsible, but as I am only taking it short-term, I am not overly concerned. I had acute shoulder tendonitis and was in absolute agony. Within 24 hours of taking this medicine, the inflammation was reduced dramatically and I have continued to improve, gaining back more of my range of motion with each day. 	0	1	0	0	0	take blood pressure|shoulder tendonitis|inflammation|range of motion|responsible|agony|improve|elevated|slightly|continued|None|day|drug|medicine|back
33	LIPITOR.325.txt	Due to bad family history and some early calcification, taking 10 mg at bed time quickly lowered total cholesterol to new target well under 200. After taking it for 8 months developed widespread muscle pain - neck, back, hips, legs, and hands. Aches and pains interupt sleep. Very stiff upon waking and hands hurt so much can't make a fist. Weakness when standing after sitting. Early in the day I move like someone much older. Pain diminishes throughout the day. lst doctor said probably had arthritis but could not explain overnight appearance or widespread discomfort. Second doctor said has been seeing lots of patients who have similar problem with statins and blood tests not confirming inflamation. Has suggested I stop taking for around 3 months to see if symptons go away. If pain disappears will try another statin. Also taking Fosamax 35. 	1	1	0	0	0	total cholesterol|family history|confirming|probably|problem|Pain|new|sitting|arthritis|sleep|calcification|inflamation|muscle pain|discomfort|Weakness|Aches|pains|pain|blood tests|Fosamax|statins|statin|Fosamax|statins|statin|waking|seeing|move|see|hands|hips|legs|neck|back|like|said|day|appearance|months|older|developed|standing
34	LIPITOR.283.txt	I experienced tighening of the chest and leg cramps. I really didn't have a bad reaction to this Medicatiion. I would take this medicine over Niaspan anyday!. 	0	1	0	0	0	leg cramps|Niaspan|Niaspan|medicine|chest|experienced|reaction|Medicatiion
35	LIPITOR.30.txt	MUSCLE PAIN IN LEFT ARM WEAK FEELING GENERAL MALAISE. I WOULD NOT RECOMMENDTHIS DRUG. 	0	1	0	0	0	PAIN IN LEFT ARM|GENERAL MALAISE|WEAK FEELING|DRUG
36	LIPITOR.152.txt	Did not help to lower my cholesterol, 55 put on 60 pounds. Will die on this medication - all my symptons on your site - hubby will get off as well (he's having eye problems). I have the rash on the forehead, insomnia (big time), sweats (so severe), difficulty breathing (huge athlete before all of this) - but no matter what I did - weight increased - huge bloating of stomach and difficulty breathing. Rashes on arms and legs as well. Tightness of throat at night (choking easily all the time - especially on crackers). Pravachol was the worst - or so I thought until I read all of this. My muscles have diminished greatly. Thanks 4 all of your input. (Also very aggitated and easily excited). 	0	1	0	0	0	arms and legs|stomach|throat|eye problems|difficulty|sweats|easily|60 pounds|insomnia|bloating|increased|medication|help|breathing|Pravachol|cholesterol|Pravachol|cholesterol|forehead|choking|weight|Rashes|rash|Will|severe
37	LIPITOR.455.txt	For the past year and half I have been taking Lipitor. I have been experiencing extreme pain in my should and arm. It is the same arm which has no lymph nodes and a modified radical mascetomy. I have had 3 steriod shots to some relief -- but -- short lived. Finally, dawned on me -- I missed taking Lipitor over the weekend and on Monday the pain was gone. Started taking it again on Monday. Pain returned. Is there a correlation. I'm stopping the Lipitor. I was due a MRI next week and possibly surgery on right shoulder with the pain. 	0	1	1	0	0	right shoulder|lymph nodes|arm|stopping|stopping|Lipitor|Lipitor|surgery|relief|Pain|lived|possibly|year|week|pain
38	LIPITOR.59.txt	"Severe pain & cramping in ankles, feet arches & back, Muscle weakness & atrophy-unable to exercise, Weak & wobbley ankles, knees & wrists, Cramping in wrists & hands, Rib cage tightness, Constant fatigue, Insomnia requiring a sleep lab study (which concluded that I have insomnia), Mental fogginess & forgetfulness, Pancreatitis, requiring mri & biopsies, Elevated liver enzymes-attributed to fatty liver Chest tightness & breathlessness requiring 3 day hospitalization for cardiac stress test & catherization & lung tests-negative Difficulty swallowing & swelling in throat requiring referrals to a gastro-enterologist & an ear, nose, & throat specialist: allergy testing, swallowing study x-rays, cat scan, upper GI scope with dilation of esophagus & biopsies, and finally larynx scope & biopsies-all negative Swollen nasal passages requiring sinus cat scan-negati. They never made any mention of adding Co Q 10. Over the years, I had previously been prescribed steroid nasal sprays, allegra (even though tests showed no allergies), nexium, cough medicine, sinus irrigation, & various sleeping pills to deal with what I now know was my reaction to statins. Nothing helped alleviate these symptoms. Besides the toll that statins have taken on my quality of life, I've also spent tens of thousands of dollars on doctors, drugs, tests, labs, & procedures. I even purchased a sleep number bed & a new sofa, thinking that would help my insomnia & back pain. All to no avail. My symptoms slowly crept up during my 15 years of statin use. Just 2 years ago, I walked 4 miles a day, or rode my bike for 45 minutes a day. I did a 20 minute Pilates machine workout 4 or 5 times a week. I went from being energetic & very active to being unable to even do my own grocery shopping. Since my daughter will be having her 2nd child in 3 months & will need my help & since I was afraid that I would be wheel chair bound by then if my symptoms kept worsening, I stopped taking Lipitor 12 days ago & I began improving slightly by the 3rd day. I informed my doctor, who was not happy-he now wants me to ""try"" pravachol! Now 12 days post-lipitor, the hot flashes & night sweats are gone entirely. I am sleeping 5-6 hours at night, instead of 3-4. The weakness in my legs & back when climbing steps is lessening. My arm muscles st. "	0	1	1	0	0	Elevated liver enzymes|Pancreatitis|Severe pain|swallowing|Insomnia|negative|swelling|climbing|unable|sweats|new|5-6|3-4|2 years|hospitalization|fogginess|energetic|informed|sleep|cough|miles|insomnia|slightly|5 times|wheel chair bound|Difficulty swallowing|tests|Weak|help|week|day|months|dilation of esophagus|irrigation|tens|procedures|45 minutes|exercise|catherization|passages|cardiac stress test|allergy testing|biopsies|scan|x-rays|upper GI|Chest tightness|quality of life|breathlessness|forgetfulness|hot flashes|cramping|weakness|Cramping|fatigue|pain|symptoms|lung tests|adding|prescribed|referrals|allergies|atrophy|pravachol|steroid|allegra|Lipitor|lipitor|nexium|Constant|statins|statin|active|pravachol|steroid|allegra|various|Lipitor|lipitor|nexium|drugs|Constant|statins|statin|medicine|Rib cage|Muscle|gastro|larynx|knees|hands|liver|nasal|feet|nose|legs|ear|arm|throat|sleeping|thinking|afraid|happy|reaction|ankles|wrists|back|Mental|sprays|study|shopping|active
39	ARTHROTEC.1.txt	I feel a bit drowsy & have a little blurred vision, so far no gastric problems. I've been on Arthrotec 50 for over 10 years on and off, only taking it when I needed it. Due to my arthritis getting progressively worse, to the point where I am in tears with the agony, gp's started me on 75 twice a day and I have to take it. every day for the next month to see how I get on, here goes. So far its been very good, pains almost gone, but I feel a bit weird, didn't have that when on 50. 	1	1	0	0	0	Arthrotec|Arthrotec|gastric|drowsy|worse|agony|problems|arthritis|vision|see|tears|month|day|10 years|pains|feel
40	LIPITOR.930.txt	No side effect noticed. Lipitor lowered my cholesterol. 	0	1	0	0	0	Lipitor|cholesterol|Lipitor|cholesterol|effect
41	LIPITOR.995.txt	Aches and pains, breathing difficulties, panic attacks, stength and stamina destroyed, palpatations, strong tingling in one hand, some tinititis and occassional ear aches. Have mentioned symptoms as they appeared to my doctor only to be prescribed zorloft for depression and anxiety and noten for heart palpatations. This in turn has seriously upset my stomach which the doctor prescribed yet another drug for. 40 mg dose Lipitor worked well in reducing my overall cholesterol levels; which are high in my family. The last 6 months of my life have been a health nightmare. I was a fit, strong and very active person 5 years ago. Now I am struggling walking too far and functioning in general. I have only been off lipitor for 2 weeks so time will tell if lipitor is to blame for my deteriorated health; winding down on the noten and zorloft as well. I am trying the VitC, CoQ10 and omega 3 path. 	0	1	0	0	0	breathing difficulties|upset stomach|ear aches|nightmare|winding|Aches|pains|fit|symptoms|cholesterol levels|panic attacks|depression|anxiety|deteriorated|stamina|turn|5 years ago|prescribed|Lipitor|lipitor|omega 3|CoQ10|active|Lipitor|lipitor|omega 3|CoQ10|drug|omega 3|CoQ10|family|months|heart|hand|blame|palpatations|active|and functioning|tingling|tinititis
42	LIPITOR.643.txt	blurring eyesight, hair loss, painful leg cramps, muscle weakness in my left arm, hard to walk any length of time, my legs and ankles ache so bad, have been unable to lose weight even when on strict diet, very, very tired all the time; pain in almost every muscle, digestive changes, bloating, gas, diarhea. My doctor keeps insisting that it isn't the drug. But all of these symptoms have come on since taking Lopid and Lipitor. Especially the eyesight problems, even went and bought new glasses and hasn't helped!! The fatigue and muscle weakness are the worst. Am only in my 40's and feel like I'm in my 80's!! Am going to stop taking the drug and see if the symptoms improve. In spite of what my quack says!!. 	1	1	0	0	0	unable to lose weight|new|problems|improve|strict diet|blurring|bloating|muscle weakness|hair loss|leg cramps|painful|fatigue|tired|ache|pain|gas|symptoms|left arm|legs|Lipitor|Lopid|Lipitor|Lopid|drug|glasses|ankles|feel|like|see|digestive
43	LIPITOR.172.txt	Sleeping all day and night - exhaustion. 10mg started two weeks ago - have slept soundly 30 of the last 48 hours. But even when awake, feel exhausted. Can't continue this way. Will ask physician for alternative at next visit. Normally have high energy and sleep average of 6 to 7 hrs per day. Haven't been back yet for blood work to establish reduction numbers. 	0	1	0	0	0	exhaustion|exhausted|reduction|Sleeping|energy|awake|sleep|visit|blood|feel|Will|back|day|physician
44	LIPITOR.458.txt	Terrific cramps in legs and awful gas pains in abdomen and back for the last month at least. It lowered my LDL (not enough) but also lowered my HDL as well!! The ratio is not good!. I started taking Lipitor about 3 yrs. ago. I started at 20. then my Dr doubled it to 40 and kept wanting me to double it again to 80. After me telling him for months I would not do this. I gave it (about 2 months ago) but decided to go to 60 rather than 80. Well, let me tell you after taking this increased dosage for about two months I've had such gas pains around my abdomen and my back and also leg cramps. I finally went to see a Dr in Urgent Care as the pain was so severe. He examined me and could not find any swellings etc and asked me if I had done anything different with my meds. I told him I had increased the Lipitor and he suggested that I stop taking it ASAP. I only stopped taking it last night and I am anticipating that I will feel better (I like to be physical and do lots of walking). I tried Crestor a little while ago and ended up in the Emergency Dept. of a hospital here with heart palipations. I'm not really very confident in these STATINS!!! I honestly feel they are dangerous and am going to try a natural product in the future. Thank God for a Dr that finally told me to STOP!. 	0	1	1	0	0	cramps in legs|leg cramps|gas pains|pain|swellings|examined|very confident|had increased|2 months|decided|increased|Emergency|abdomen|back|Lipitor|Crestor|STATINS|ended|Lipitor|Crestor|STATINS|ended|Urgent|month|months|heart|feel|like|see|severe|physical
45	LIPITOR.33.txt	went to hospital with what i throught was heart attact. dr. could fine nothing wrong. head aches. muscels hurts, week. sick at stomach, tired all the time. if this is the cause why do Drs. recomemend it. i will not take it anymore. 	0	1	1	0	0	nothing|stomach|heart|aches|tired|head|week|throught
46	LIPITOR.532.txt	Stomach pain, Gas, Burping, Diarhea. I called the doctor today to report my issues. I am waiting on him to call back. Looks like I will need to get off of Lipitor. The stomach pain comes and goes and can become quite uncomfortable. 	0	1	0	0	0	Stomach pain|stomach pain|Burping|Gas|Lipitor|Lipitor|report|like
